Nome do Repositório,Estrelas,Razão Fechamento Issues:
ShareX,28929,91.40%
Flowise,28927,67.88%
pnpm,28909,62.85%
mmdetection,28888,81.08%
jsPDF,28884,95.21%
AI-Expert-Roadmap,28883,73.02%
hutool,28855,99.89%
uppy,28838,94.66%
particles.js,28811,25.99%
remote-jobs,28776,86.63%
v2ray-core,28750,94.07%
awesome-macos-command-line,28735,0.00%
OpenAPI-Specification,28721,91.47%
polars,28711,78.37%
OpenBB,28710,98.77%
sharp,28703,97.35%
remix,28696,89.72%
swift-algorithm-club,28685,85.51%
go-zero,28673,84.62%
algo,28598,89.69%
Awesome,28588,57.34%
todomvc,28585,84.27%
ToolJet,28525,82.39%
awesome-python-cn,28496,58.06%
fabric.js,28494,94.11%
influxdb,28472,85.53%
composer,28464,98.06%
vuex,28395,92.25%
postcss,28391,98.14%
linkedin-skill-assessments-quizzes,28357,90.02%
slick,28351,66.56%
Mr.-Ranedeer-AI-Tutor,28351,71.74%
spotube,28301,68.15%
android_guides,28290,57.78%
weekly,28282,99.73%
aseprite,28278,58.56%
YesPlayMusic,28276,67.23%
canal,28262,76.96%
cheerio,28258,98.04%
tqdm,28203,58.87%
RevokeMsgPatcher,28196,93.10%
kafka,28178,0.00%
consul,28177,78.31%
CyberChef,28164,61.84%
SpringAll,28154,57.45%
async,28142,99.20%
lighthouse,28138,94.06%
python-guide,28112,64.47%
rocksdb,28109,80.03%
backbone,28103,98.30%
rufus,28099,99.52%
GPTs,28077,81.48%
django-rest-framework,28034,98.59%
css-protips,28032,98.33%
machine-learning-for-software-engineers,28018,36.00%
ChatGPT,27998,98.76%
OpenVoice,27995,22.27%
editor.js,27994,61.36%
coolify,27973,80.70%
chatbot-ui,27900,85.61%
react-spring,27898,91.54%
folly,27868,72.94%
druid,27849,51.58%
pytorch-lightning,27797,89.56%
the-super-tiny-compiler,27765,0.00%
alpine,27748,100.00%
spring-cloud-alibaba,27737,87.17%
HEU_KMS_Activator,27668,13.10%
freqtrade,27655,99.18%
llvm-project,27557,69.81%
handson-ml2,27556,58.40%
servo,27552,75.62%
Data-Science-For-Beginners,27536,82.61%
mpv,27533,91.76%
nginxconfig.io,27530,77.45%
Clone-Wars,27509,88.46%
ultralytics,27507,92.86%
react-select,27497,90.42%
legado,27484,98.38%
Charts,27477,79.59%
JavaScript30,27440,0.00%
immer,27427,95.57%
mobx,27421,97.63%
Real-ESRGAN,27416,25.34%
CheatSheetSeries,27403,91.34%
croc,27399,98.72%
waifu2x,27397,57.94%
numpy,27376,84.79%
Daily-Interview-Question,27366,53.23%
k3s,27357,98.17%
backstage,27336,93.39%
yapi,27288,37.58%
underscore,27282,97.82%
docsify,27270,89.02%
xxl-job,27242,59.00%
vhr,27241,37.94%
comprehensive-rust,27228,63.93%
netron,27191,98.29%
weui,27137,92.62%
MonitorControl,27110,97.07%
LLM101n,27106,0.00%
ResumeSample,27105,0.00%
applied-ml,27089,91.67%
JCSprout,27071,66.29%
Complete-Python-3-Bootcamp,27027,63.17%
data-science-ipython-notebooks,27017,53.66%
legacy-homebrew,26997,100.00%
plane,26951,62.20%
react-three-fiber,26945,94.46%
reverse-interview,26894,72.00%
directus,26868,94.50%
os-tutorial,26851,59.20%
refine,26851,98.33%
gitbook,26844,98.64%
mongoose,26837,97.85%
outline,26802,96.83%
Faker,26787,86.67%
python-fire,26773,60.88%
xstate,26765,93.93%
codemirror5,26746,90.31%
hangzhou_house_knowledge,26717,32.43%
angular-cli,26704,98.20%
rethinkdb,26669,78.99%
helm,26665,95.87%
viper,26646,54.20%
trilium,26636,75.00%
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26627,36.73%
ace,26617,96.86%
gitflow,26606,34.71%
qBittorrent,26595,81.99%
lux,26591,51.60%
mediapipe,26567,93.97%
dokku,26533,98.44%
