Nome do Repositório,Estrelas,Linguagem Principal
hangzhou_house_knowledge,26712,CSS
helm,26691,Go
qBittorrent,26678,C++
viper,26678,Go
rethinkdb,26675,C++
trilium,26663,JavaScript
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26637,Jupyter Notebook
lux,26626,Go
ace,26623,JavaScript
mediapipe,26598,C++
gitflow,26593,Shell
dokku,26566,Shell
DevToys,26555,C#
Python-programming-exercises,26531,Não especificada
surrealdb,26522,Rust
commander.js,26517,JavaScript
server,26484,PHP
kit,26451,Go
ruoyi-vue-pro,26393,Java
aos,26391,JavaScript
hosts,26386,Python
tiptap,26362,TypeScript
90DaysOfDevOps,26335,Shell
ink,26327,TypeScript
bulletproof-react,26280,TypeScript
k9s,26277,Go
plyr,26256,JavaScript
swagger-ui,26237,JavaScript
Detectron,26235,Python
bubbletea,26231,Go
tokio,26230,Rust
dnSpy,26224,C#
react-virtualized,26224,JavaScript
nodemon,26209,JavaScript
coder2gwy,26198,Não especificada
tuning_playbook,26193,Não especificada
stb,26165,C
miaosha,26155,Java
glances,26138,Python
vagrant,26132,Ruby
UTM,26077,Swift
mindsdb,26065,Python
fastai,26035,Jupyter Notebook
nprogress,26033,JavaScript
the_silver_searcher,26022,C
xgboost,26019,C++
Tvlist-awesome-m3u-m3u8,26009,Não especificada
Web,26001,Não especificada
mongo,25987,C++
tinygrad,25899,Python
mantine,25888,TypeScript
select2,25866,JavaScript
turborepo,25857,Rust
redash,25836,Python
fetch,25805,JavaScript
fastText,25800,HTML
paper-reading,25798,Não especificada
cmder,25788,C++
hacker-laws,25723,Shell
llama3,25718,Python
Depix,25717,Python
python-telegram-bot,25713,Python
fastjson,25700,Java
langflow,25700,JavaScript
request,25680,JavaScript
quasar,25671,JavaScript
lossless-cut,25651,TypeScript
darknet,25649,C
DeepFaceLive,25646,Python
Modernizr,25630,JavaScript
awesome-electron,25630,Não especificada
lottie-ios,25608,Swift
fonts,25597,Shell
full-stack-fastapi-template,25595,TypeScript
butterknife,25565,Java
emscripten,25549,C++
awesome-cto,25547,Não especificada
spleeter,25543,Python
tdesktop,25534,C++
restic,25522,Go
headlessui,25509,TypeScript
fish-shell,25480,Rust
Rectangle,25461,Swift
filebrowser,25405,Go
vllm,25396,Python
YouCompleteMe,25395,Python
ItChat,25393,Python
cascadia-code,25381,Python
awesome-deep-learning-papers,25336,TeX
Signal-Android,25301,Java
Free-Certifications,25301,Não especificada
taichi,25299,C++
modern-js-cheatsheet,25293,Não especificada
Pake,25287,Rust
toBeTopJavaer,25270,Java
MiniGPT-4,25266,Python
openssl,25260,C
discord.js,25197,TypeScript
Hello-Python,25194,Python
ngx-admin,25181,TypeScript
incubator-seata,25175,Java
so-vits-svc,25174,Python
fe-interview,25170,JavaScript
rollup,25164,JavaScript
handson-ml,25153,Jupyter Notebook
srs,25152,C++
iris,25105,Go
dragonfly,25096,C++
LLMs-from-scratch,25071,Jupyter Notebook
SDWebImage,25027,Objective-C
30-Days-Of-React,25027,JavaScript
Avalonia,25009,C#
DeepSpeech,24968,C++
firecracker,24955,Rust
proxyee-down,24941,Java
jumpserver,24930,Python
apollo,24928,C++
faas,24919,Go
react-native-elements,24909,MDX
ChatDev,24907,Shell
go-patterns,24868,Go
SmartRefreshLayout,24854,Java
textual,24826,Python
nsq,24817,Go
setup-ipsec-vpn,24816,Shell
diffusers,24815,Python
nylas-mail,24807,JavaScript
go,24796,Não especificada
eslint,24791,JavaScript
pipenv,24781,Python
feather,24766,JavaScript
awesome-vscode,24746,JavaScript
table,24741,TypeScript
k6,24722,Go
awesome-swift,24677,Ruby
localForage,24674,JavaScript
TrackersListCollection,24671,Não especificada
vscodium,24670,Shell
react-admin,24667,TypeScript
EventBus,24664,Java
openzeppelin-contracts,24663,JavaScript
micro,24656,Go
awesome-actions,24652,Não especificada
rust-course,24641,Rust
create-t3-app,24638,TypeScript
docker_practice,24605,Go
devtools,24602,TypeScript
idiomatic.js,24577,Não especificada
iTerm2-Color-Schemes,24566,Shell
eShopOnContainers,24546,C#
awesome-datascience,24538,Não especificada
envoy,24516,C++
autocomplete,24506,TypeScript
CasaOS,24503,Go
Mask_RCNN,24492,Python
logrus,24456,Go
locust,24455,Python
flameshot,24412,C++
fyne,24370,Go
bruno,24357,JavaScript
CLIP,24341,Jupyter Notebook
vnpy,24336,Python
Telegram,24322,Java
RxSwift,24306,Swift
stats,24295,Swift
celery,24293,Python
core-js,24292,JavaScript
wttr.in,24285,Python
awesome-sysadmin,24282,Não especificada
Wox,24281,Go
medusa,24281,TypeScript
components,24276,TypeScript
pkg,24271,JavaScript
BaseRecyclerViewAdapterHelper,24262,Kotlin
coc.nvim,24260,TypeScript
data-engineering-zoomcamp,24253,Jupyter Notebook
AdGuardHome,24247,Go
vapor,24242,Swift
wiki,24226,Vue
nanoid,24194,JavaScript
Umi-OCR,24181,Python
elixir,24180,Elixir
