Nome do Repositório,Estrelas,Pull Requests Aceitas
vagrant,26132,2694
UTM,26077,237
mindsdb,26065,4296
fastai,26035,1680
nprogress,26033,34
the_silver_searcher,26022,399
xgboost,26019,4377
Tvlist-awesome-m3u-m3u8,26009,1
Web,26001,0
mongo,25987,125
tinygrad,25899,3960
mantine,25888,1245
select2,25866,711
turborepo,25857,5169
redash,25836,3170
fetch,25805,197
fastText,25800,12
paper-reading,25798,13
cmder,25788,427
hacker-laws,25723,174
llama3,25718,24
Depix,25717,14
python-telegram-bot,25713,1426
fastjson,25700,418
langflow,25700,1767
request,25680,650
quasar,25671,3591
lossless-cut,25651,177
darknet,25649,10
DeepFaceLive,25646,13
Modernizr,25630,806
awesome-electron,25630,268
lottie-ios,25608,708
fonts,25597,75
full-stack-fastapi-template,25595,307
butterknife,25565,346
emscripten,25549,10791
awesome-cto,25547,12
spleeter,25543,49
tdesktop,25534,1555
restic,25522,2006
headlessui,25509,569
fish-shell,25480,1866
Rectangle,25461,237
filebrowser,25405,497
vllm,25396,2370
YouCompleteMe,25395,785
ItChat,25393,29
cascadia-code,25381,82
awesome-deep-learning-papers,25336,39
Signal-Android,25301,238
Free-Certifications,25301,106
taichi,25299,5149
modern-js-cheatsheet,25293,84
Pake,25287,90
toBeTopJavaer,25270,52
MiniGPT-4,25266,19
openssl,25260,135
discord.js,25197,4470
Hello-Python,25194,0
ngx-admin,25181,343
incubator-seata,25175,2189
so-vits-svc,25174,153
fe-interview,25170,8
rollup,25164,1960
handson-ml,25153,56
srs,25152,451
iris,25105,391
dragonfly,25096,2126
LLMs-from-scratch,25071,188
SDWebImage,25027,934
30-Days-Of-React,25027,10
Avalonia,25009,4850
DeepSpeech,24968,1338
firecracker,24955,2688
proxyee-down,24941,16
jumpserver,24930,6553
apollo,24928,9726
faas,24919,679
react-native-elements,24909,1209
ChatDev,24907,100
go-patterns,24868,10
SmartRefreshLayout,24854,12
textual,24826,1799
nsq,24817,673
setup-ipsec-vpn,24816,44
diffusers,24815,3682
nylas-mail,24807,139
go,24796,48
eslint,24791,6120
pipenv,24781,1530
feather,24766,113
awesome-vscode,24746,243
table,24741,917
k6,24722,1725
awesome-swift,24677,1436
localForage,24674,269
TrackersListCollection,24671,5
vscodium,24670,434
react-admin,24667,4752
EventBus,24664,31
openzeppelin-contracts,24663,2156
micro,24656,739
awesome-actions,24652,439
rust-course,24641,710
create-t3-app,24638,1065
docker_practice,24605,261
devtools,24602,284
idiomatic.js,24577,114
iTerm2-Color-Schemes,24566,303
eShopOnContainers,24546,538
awesome-datascience,24538,348
envoy,24516,19801
autocomplete,24506,1515
CasaOS,24504,255
Mask_RCNN,24492,65
logrus,24456,404
locust,24455,875
flameshot,24412,821
fyne,24370,1712
bruno,24357,605
CLIP,24341,28
vnpy,24336,1035
Telegram,24322,20
RxSwift,24306,790
stats,24295,368
celery,24293,2385
core-js,24292,258
wttr.in,24285,271
awesome-sysadmin,24282,317
Wox,24281,308
medusa,24281,4987
components,24276,12016
pkg,24271,176
BaseRecyclerViewAdapterHelper,24262,191
coc.nvim,24260,818
data-engineering-zoomcamp,24253,291
AdGuardHome,24247,118
vapor,24242,1218
wiki,24226,370
nanoid,24194,187
Umi-OCR,24181,39
elixir,24180,6974
Média,Mediana,Moda/Ocorrências
2998.46,580.0,0/11
